time,open,high,low,close,HTF MA,HTF MA
1776128400,4769.94,4777.385,4761.79,4765.065,4741.721799999994,4738.860996576752
1776132000,4765.07,4777.305,4762.15,4775.225,4741.939999999993,4740.2870359266835
1776135600,4775.22,4775.675,4765.65,4768.25,4742.027599999994,4741.383622753088
1776139200,4768.215,4777.085,4767.095,4774.24,4742.2481999999945,4742.67210813532
1776142800,4774.24,4774.32,4757.855,4759.985,4742.155799999994,4743.351045071189
1776146400,4760.015,4782.965,4760.015,4782.09,4742.7377999999935,4744.87021977428
1776150000,4782.095,4796.63,4767.855,4777.16,4742.948999999994,4746.1364856654845
1776153600,4777.155,4790,4774.14,4786.97,4743.517999999994,4747.737799953113
1776157200,4787.08,4789.405,4771.735,4778.235,4743.763799999993,4748.933768582402
1776160800,4778.245,4788.31,4751.22,4768.58,4744.213999999994,4749.704209030151
1776164400,4768.52,4783.165,4767.03,4774.94,4744.719999999994,4750.693847891714
1776168000,4774.905,4777.715,4762.36,4771.48,4745.330099999994,4751.5089911116465
1776171600,4771.475,4803.79,4771.185,4794.805,4746.194799999994,4753.20687381315
1776175200,4794.825,4818.33,4793.065,4803.81,4747.125699999993,4755.191310134203
1776178800,4803.8,4816.265,4791.115,4808.41,4747.926999999993,4757.27831757992
1776182400,4808.44,4820.34,4805.255,4810.075,4748.690099999993,4759.348775714041
1776186000,4810.12,4841.705,4809.54,4835.235,4749.8919999999935,4762.324706078196
1776189600,4835.215,4843.64,4830.895,4835.73,4751.110299999993,4765.203345055522
1776193200,4835.75,4846.345,4835.75,4844.99,4752.763299999994,4768.332233484717
1776196800,4845,4846.37,4839.7,4841.76,4754.321699999993,4771.211753740218
1776204000,4849.155,4850.88,4833.195,4835.26,4755.820599999994,4773.723449671975
1776207600,4835.14,4844.315,4833.68,4837.285,4757.2575999999935,4776.21605948876
1776211200,4837.315,4840.18,4827.285,4835.56,4758.770899999993,4778.543272842142
1776214800,4835.52,4871.38,4828.335,4847.19,4760.720999999993,4781.235301358136
1776218400,4847.175,4853.445,4820.715,4824.005,4764.020399999993,4782.912544442131
1776222000,4824.02,4829.725,4816.915,4823.925,4767.069099999993,4784.520876032635
1776225600,4823.955,4827.92,4820.3,4825.075,4769.657899999994,4786.111233835277
1776229200,4825.125,4830.53,4812.735,4819.97,4771.632199999994,4787.439028586835
1776232800,4819.975,4825.04,4811.31,4811.625,4773.453199999994,4788.387498054018
1776236400,4811.565,4816.935,4804.05,4811.27,4775.315199999994,4789.284851071508
1776240000,4811.15,4821.875,4804.595,4818.63,4777.224599999993,4790.435641225566
1776243600,4818.56,4819.565,4786.08,4798.255,4778.600099999993,4790.742282746131
1776247200,4798.25,4805.275,4790.095,4800.16,4780.090199999994,4791.111604991381
1776250800,4800.175,4815.305,4795.57,4812.635,4781.6644999999935,4791.955659697601
1776254400,4812.65,4816.37,4807.025,4811.76,4783.4270999999935,4792.732300493773
1776258000,4811.69,4830.31,4808.57,4828.915,4785.707299999994,4794.151229886174
1776261600,4828.93,4830.615,4813.505,4815.525,4787.574599999994,4794.989416949462
1776265200,4815.535,4816.155,4787.145,4801.745,4789.466799999994,4795.254341774973
1776268800,4801.74,4812.84,4800.17,4803.985,4791.076899999993,4795.596720528895
1776272400,4803.975,4808.96,4790.82,4792.64,4792.3137999999935,4795.480770704233
1776276000,4792.63,4802.675,4790.24,4799.745,4793.921199999993,4795.647995382498
