time,open,high,low,close,HTF MA,HTF MA
1762538400,4005.595,4009.325,3999.555,4002.78,3993.274600000004,3993.4047370735993
1762540200,4002.76,4007.52,4001.8,4005.65,3993.9156000000035,3993.88494346287
1762542000,4005.685,4009.05,4003.5,4006.39,3993.9156000000035,3993.88494346287
1762543800,4006.46,4008.25,4001.935,4006.71,3994.483900000004,3994.387886856483
1762545600,4006.7,4006.93,3994.64,3998.675,3994.483900000004,3994.387886856483
1762547400,3998.67,4005.935,3997.475,4004.18,3994.8283000000038,3994.771891293484
1762549200,4004.14,4005.34,4001.19,4001.945,3994.8283000000038,3994.771891293484
1762551000,4001.995,4004.89,3998.69,4001.275,3995.211400000004,3995.0269151643274
1762729200,4005.675,4011.555,4004.73,4008.655,3995.211400000004,3995.0269151643274
1762731000,4008.635,4012.23,4004.355,4011.87,3995.7999000000036,3995.687428295138
1762732800,4011.905,4017.195,4011.13,4016.385,3995.7999000000036,3995.687428295138
1762734600,4016.36,4024.12,4011.37,4020.405,3996.4496000000036,3996.6567448325836
1762736400,4020.39,4051.95,4019.15,4047.805,3996.4496000000036,3996.6567448325836
1762738200,4047.78,4053.47,4041.435,4044.07,3997.6390000000038,3998.5160881724823
1762740000,4043.99,4048.11,4037.74,4041.095,3997.6390000000038,3998.5160881724823
1762741800,4041.205,4049.175,4038.54,4048.135,3998.9994000000042,4000.4619278519926
1762743600,4048.12,4051.99,4044.945,4050.645,3998.9994000000042,4000.4619278519926
1762745400,4050.745,4052.98,4047.33,4050.105,4000.522900000004,4002.408714995052
1762747200,4050.055,4056.875,4049.975,4053.81,4000.522900000004,4002.408714995052
1762749000,4053.805,4055.565,4049.835,4054.225,4002.080600000004,4004.4407261717165
1762750800,4054.27,4055.92,4050.24,4055.305,4002.080600000004,4004.4407261717165
1762752600,4055.36,4070.07,4054.8,4069.56,4003.9365000000043,4006.9944231845902
1762754400,4069.63,4073.92,4066.9,4073.065,4003.9365000000043,4006.9944231845902
1762756200,4072.905,4078.615,4069.95,4075.24,4005.773700000004,4009.670720314606
1762758000,4075.24,4079.15,4072.315,4075.735,4005.773700000004,4009.670720314606
1762759800,4075.69,4079.065,4074.07,4075.395,4007.5308000000036,4012.2481430473667
1762761600,4075.335,4083.4,4075.135,4080.345,4007.5308000000036,4012.2481430473667
1762763400,4080.35,4085.295,4078.335,4082.315,4009.3984000000037,4014.995862927862
1762765200,4082.35,4083.55,4071.49,4080.095,4009.3984000000037,4014.995862927862
1762767000,4080.045,4086.375,4076.08,4076.705,4011.1796000000036,4017.415829087554
1762768800,4076.69,4082.815,4076.69,4077.605,4011.1796000000036,4017.415829087554
1762770600,4077.64,4083.42,4075.95,4081.11,4012.9715000000037,4019.9136397115712
1762772400,4081.175,4082.63,4075.86,4079.37,4012.9715000000037,4019.9136397115712
1762774200,4079.41,4085.495,4078.94,4085.385,4014.563600000004,4022.4811440366075
1762776000,4085.43,4096.025,4084.42,4094.305,4014.563600000004,4022.4811440366075
1762777800,4094.32,4100.085,4093.64,4097.65,4016.219000000001,4025.4289423096816
1762779600,4097.7,4106,4097,4102.125,4016.219000000001,4025.4289423096816
1762781400,4102.12,4103.595,4090.4,4091.645,4017.831700000001,4028.0256504544
1762783200,4091.635,4094.13,4082.03,4086.31,4017.831700000001,4028.0256504544
1762785000,4086.175,4086.995,4074.49,4083.53,4019.333000000001,4030.202291613051
1762786800,4083.455,4094.355,4083.355,4089.17,4019.333000000001,4030.202291613051
1762788600,4089.155,4089.595,4077.935,4084.435,4020.6580000000004,4032.3290644909703
1762790400,4084.42,4093.435,4082.095,4093.09,4020.6580000000004,4032.3290644909703
1762792200,4093.165,4095.77,4088.775,4095.175,4022.4540000000006,4034.7936109815205
1762794000,4095.2,4098.44,4093.46,4096.92,4022.4540000000006,4034.7936109815205
