time,open,high,low,close,HTF MA,HTF MA
1760954400,4260.765,4260.965,4245.77,4254.68,4281.334600000003,4259.385655816951
1760958000,4254.665,4279.645,4251.04,4279.075,4282.300500000003,4260.157786961384
1760961600,4279.06,4327.445,4272.8,4323.54,4284.109100000004,4262.643363943291
1760965200,4323.55,4325.36,4299.595,4300.96,4285.337500000003,4264.145977121985
1760968800,4300.965,4334.71,4292.85,4332.285,4287.1290000000035,4266.818095666221
1760972400,4332.3,4355.65,4332.28,4349.12,4289.299300000003,4270.045621326369
1760976000,4349.115,4350.85,4342.735,4347.75,4291.5296000000035,4273.09285186259
1760979600,4347.74,4351.255,4337.195,4348.085,4293.571800000003,4276.033720416998
1760983200,4348.115,4364.8,4344.53,4359.375,4295.492600000003,4279.302005890841
1760986800,4359.365,4381.44,4359.2,4377.905,4297.576900000004,4283.168789973553
1760990400,4377.84,4379.95,4346.23,4355.795,4299.036600000003,4286.016876641257
1760997600,4366.33,4375.625,4357.51,4367.69,4300.513600000003,4289.219744223953
1761001200,4367.655,4371.875,4356.83,4360.195,4301.900600000003,4292.003087587719
1761004800,4360.19,4371.19,4356.25,4368.645,4303.123600000003,4295.008652780358
1761008400,4368.61,4372.445,4333.095,4350.965,4303.621600000002,4297.203019337991
1761012000,4350.98,4355.465,4335.54,4339.145,4303.465400000003,4298.847802893363
1761015600,4339.045,4350.865,4338.2,4346.73,4303.083700000003,4300.725536113231
1761019200,4346.725,4347.255,4336.985,4342.005,4302.760900000003,4302.3443386185945
1761022800,4341.81,4344.31,4317.455,4323.175,4302.937500000003,4303.161227300218
1761026400,4323.105,4344.185,4317.395,4343.215,4302.945600000003,4304.7319634845235
1761030000,4343.25,4343.27,4293.46,4298.52,4301.576100000003,4304.4883570733655
1761033600,4298.51,4302.02,4245.245,4274.15,4299.526700000003,4303.298617580293
1761037200,4274.145,4278.095,4254.84,4265.17,4297.506700000003,4301.803377675183
1761040800,4265.16,4266.77,4249.6,4253.745,4295.374300000002,4299.918735413411
1761044400,4253.74,4272.67,4245.56,4253.435,4293.589300000002,4298.095843828572
1761048000,4253.45,4257.85,4205.87,4211.095,4290.860600000003,4294.684046031372
1761051600,4211.33,4225.485,4167.66,4173.76,4287.527400000003,4289.941926579162
1761055200,4173.84,4188.665,4080.58,4138.935,4283.748000000001,4284.020086321156
1761058800,4139.03,4150.68,4119.89,4138.77,4280.779600000002,4278.32400450464
1761062400,4138.81,4143.975,4101.79,4113.455,4276.754100000002,4271.858553347595
1761066000,4113.415,4120.575,4093.83,4111.25,4273.497500000001,4265.560178706513
1761069600,4111.265,4126.06,4106.58,4114.89,4270.815700000002,4259.651544247435
1761073200,4115.005,4122.32,4100.795,4109.42,4268.251500000001,4253.7601111396925
1761076800,4109.43,4131.1,4106.37,4125.27,4266.6545000000015,4248.721283251862
1761084000,4124.28,4129.215,4114.03,4123.54,4264.705100000002,4243.812213320416
1761087600,4123.5,4128.015,4090.005,4093.105,4261.851800000001,4237.902126523537
1761091200,4093.09,4093.895,4004.28,4075.135,4258.829900000001,4231.519101953986
1761094800,4075.145,4121.14,4064.545,4087.445,4255.499300000001,4225.869137171477
1761098400,4087.45,4117.95,4087.45,4115.295,4252.683999999999,4221.532896498085
1761102000,4115.275,4143.425,4107.34,4128.605,4250.493799999999,4217.888665262866
1761105600,4128.61,4133.585,4107.355,4128.375,4248.072799999999,4214.378325448636
1761109200,4128.47,4147.005,4126.73,4134.915,4245.522199999999,4211.262116607513
1761112800,4134.905,4161.535,4127.715,4155.785,4243.525699999999,4209.086543407218
1761116400,4155.75,4156.59,4129.505,4132.99,4240.891099999999,4206.1023652343865
1761120000,4132.865,4135.94,4053.35,4070.68,4236.981699999999,4200.791684244803
1761123600,4070.595,4101.695,4061.605,4069.8,4233.575699999999,4195.654755450889
1761127200,4069.705,4090.755,4023.51,4035.405,4229.557899999999,4189.37045131556
1761130800,4035.4,4045.205,4015.125,4028.23,4225.019599999999,4183.051217930636
1761134400,4028.26,4053.42,4023.32,4033.87,4220.522999999999,4177.200974090219
1761138000,4034.005,4085.48,4033.37,4075.975,4216.826999999999,4173.231328047465
1761141600,4075.835,4078.745,4011.095,4014.955,4212.032499999999,4167.024413222074
1761145200,4015.085,4047.34,4014.955,4037.12,4207.1934,4161.930122507483
1761148800,4037.13,4064.12,4023.09,4059.27,4201.907999999999,4157.904235350327
1761152400,4059.08,4071.025,4044.02,4069.97,4197.288199999999,4154.45583396404
1761156000,4069.95,4081.73,4066.59,4077.03,4192.183099999999,4151.4195267497635
1761159600,4077.035,4113.8,4076.64,4102.105,4187.2428,4149.485623739969
1761163200,4102.12,4107.21,4088.52,4099.4,4182.275799999999,4147.52148163252
1761170400,4110.085,4111.195,4092.59,4102.325,4177.360599999999,4145.749070588107
