Datetime,Open,High,Low,Close,Volume
2024-05-28 00:00:00+00:00,2352.35,2353.0299999999997,2351.3,2352.7200000000003,40
2024-05-28 00:15:00+00:00,2351.5,2353.3,2350.6,2351.52,41
2024-05-28 00:30:00+00:00,2351.97,2352.69,2350.6,2352.25,42
2024-05-28 00:45:00+00:00,2352.2999999999997,2352.2999999999997,2351.37,2351.64,39
2024-05-28 01:00:00+00:00,2353.0299999999997,2353.0299999999997,2349.91,2349.91,41
2024-05-28 01:15:00+00:00,2349.68,2352.35,2349.13,2351.72,39
2024-05-28 01:30:00+00:00,2351.5,2355.01,2351.5,2354.3300000000004,40
2024-05-28 01:45:00+00:00,2355.1,2356.15,2353.1,2354.6299999999997,40
2024-05-28 02:00:00+00:00,2355.1,2355.1,2353.0,2353.49,42
2024-05-28 02:15:00+00:00,2353.66,2354.03,2353.0,2353.1,39
2024-05-28 02:30:00+00:00,2353.1499999999996,2353.36,2351.0,2352.29,40
2024-05-28 02:45:00+00:00,2352.32,2355.02,2351.96,2354.05,37
2024-05-28 03:00:00+00:00,2354.46,2354.46,2352.46,2352.99,40
2024-05-28 03:15:00+00:00,2352.7400000000002,2353.42,2350.73,2351.35,40
2024-05-28 03:30:00+00:00,2351.5,2351.52,2350.2,2350.6200000000003,39
2024-05-28 03:45:00+00:00,2350.84,2351.3799999999997,2349.8999999999996,2350.8,40
2024-05-28 04:00:00+00:00,2350.98,2351.65,2349.8999999999996,2350.79,39
2024-05-28 04:15:00+00:00,2350.89,2351.54,2349.5,2351.54,40
2024-05-28 04:30:00+00:00,2351.5099999999998,2351.8,2349.6,2350.4,40
2024-05-28 04:45:00+00:00,2351.29,2351.73,2350.2,2350.89,41
2024-05-28 05:00:00+00:00,2350.89,2353.43,2350.71,2352.7400000000002,41
2024-05-28 05:15:00+00:00,2352.58,2352.6800000000003,2351.6,2352.1,39
2024-05-28 05:30:00+00:00,2351.82,2353.11,2350.6,2352.17,40
2024-05-28 05:45:00+00:00,2351.59,2352.17,2349.56,2350.23,39
2024-05-28 06:00:00+00:00,2349.79,2349.96,2347.07,2347.48,39
2024-05-28 06:15:00+00:00,2346.46,2347.48,2342.1,2342.61,39
2024-05-28 06:30:00+00:00,2342.87,2344.66,2341.7,2343.21,40
2024-05-28 06:45:00+00:00,2343.26,2343.26,2341.31,2341.85,39
2024-05-28 07:00:00+00:00,2341.78,2344.19,2341.78,2343.21,39
2024-05-28 07:15:00+00:00,2341.6,2344.6800000000003,2341.6,2343.41,40
2024-05-28 07:30:00+00:00,2343.27,2344.48,2342.69,2343.91,39
2024-05-28 07:45:00+00:00,2344.06,2344.2200000000003,2342.96,2344.2200000000003,39
2024-05-28 08:00:00+00:00,2343.8900000000003,2344.73,2341.56,2341.56,38
2024-05-28 08:15:00+00:00,2340.8700000000003,2341.91,2339.9,2341.4300000000003,40
2024-05-28 08:30:00+00:00,2341.08,2343.07,2341.08,2342.0299999999997,39
2024-05-28 08:45:00+00:00,2342.07,2344.84,2341.59,2344.84,40
2024-05-28 09:00:00+00:00,2344.96,2344.96,2343.04,2343.4,38
2024-05-28 09:15:00+00:00,2343.4,2344.61,2342.15,2343.9900000000002,39
2024-05-28 09:30:00+00:00,2344.38,2344.77,2343.4,2344.39,40
2024-05-28 09:45:00+00:00,2344.46,2344.7799999999997,2342.4,2344.0299999999997,40
2024-05-28 10:00:00+00:00,2343.64,2344.86,2343.13,2344.52,39
2024-05-28 10:15:00+00:00,2345.21,2345.21,2343.4,2345.08,40
2024-05-28 10:30:00+00:00,2344.63,2345.7,2344.2,2345.19,40
2024-05-28 10:45:00+00:00,2344.48,2346.06,2343.5,2345.44,40
2024-05-28 11:00:00+00:00,2345.24,2345.24,2343.4900000000002,2344.3,38
2024-05-28 11:15:00+00:00,2344.5499999999997,2345.18,2343.9500000000003,2345.18,39
2024-05-28 11:30:00+00:00,2344.81,2346.01,2344.3,2345.76,41
2024-05-28 11:45:00+00:00,2345.82,2348.2599999999998,2345.77,2347.4,39
2024-05-28 12:00:00+00:00,2347.88,2350.78,2345.2000000000003,2350.47,41
2024-05-28 12:15:00+00:00,2350.38,2355.52,2350.2200000000003,2354.59,39
2024-05-28 12:30:00+00:00,2354.31,2356.8900000000003,2353.4100000000003,2355.12,39
2024-05-28 12:45:00+00:00,2355.3,2355.3,2352.75,2353.1800000000003,39
2024-05-28 13:00:00+00:00,2353.11,2356.85,2352.75,2355.37,37
2024-05-28 13:15:00+00:00,2356.81,2363.41,2355.12,2361.09,39
2024-05-28 13:30:00+00:00,2360.76,2362.5699999999997,2357.5499999999997,2359.81,40
2024-05-28 13:45:00+00:00,2356.31,2359.85,2352.8,2354.03,39
2024-05-28 14:00:00+00:00,2351.97,2354.52,2348.5,2350.17,39
2024-05-28 14:15:00+00:00,2351.42,2354.02,2348.11,2353.56,37
2024-05-28 14:30:00+00:00,2352.2999999999997,2354.8599999999997,2351.41,2353.91,39
2024-05-28 14:45:00+00:00,2354.02,2356.87,2352.99,2356.06,38
2024-05-28 15:00:00+00:00,2354.85,2355.8700000000003,2353.33,2355.8700000000003,39
2024-05-28 15:15:00+00:00,2355.62,2359.48,2354.52,2358.7999999999997,39
2024-05-28 15:30:00+00:00,2358.74,2361.11,2357.3199999999997,2360.56,39
2024-05-28 15:45:00+00:00,2360.88,2361.7599999999998,2359.7799999999997,2360.3399999999997,40
2024-05-28 16:00:00+00:00,2360.13,2361.98,2359.19,2361.35,38
2024-05-28 16:15:00+00:00,2360.44,2361.35,2357.57,2357.6400000000003,39
2024-05-28 16:30:00+00:00,2358.0499999999997,2358.75,2356.0699999999997,2356.27,39
2024-05-28 16:45:00+00:00,2355.98,2357.98,2355.1,2356.81,39
2024-05-28 17:00:00+00:00,2356.6,2356.81,2354.02,2354.02,40
2024-05-28 17:15:00+00:00,2354.08,2355.9,2353.72,2355.77,39
2024-05-28 17:30:00+00:00,2355.56,2359.61,2355.56,2358.81,39
2024-05-28 17:45:00+00:00,2358.39,2358.46,2356.3999999999996,2356.96,41
2024-05-28 18:00:00+00:00,2356.6600000000003,2357.59,2355.38,2355.75,40
2024-05-28 18:15:00+00:00,2355.69,2356.11,2353.62,2354.03,39
2024-05-28 18:30:00+00:00,2353.65,2354.44,2352.84,2354.3900000000003,39
2024-05-28 18:45:00+00:00,2354.35,2357.46,2354.05,2357.1800000000003,38
2024-05-28 19:00:00+00:00,2357.0,2357.84,2355.81,2356.29,39
2024-05-28 19:15:00+00:00,2355.9700000000003,2358.09,2355.9700000000003,2357.89,37
2024-05-28 19:30:00+00:00,2357.6400000000003,2359.7599999999998,2357.6400000000003,2359.11,38
2024-05-28 19:45:00+00:00,2359.75,2359.94,2357.5,2357.9700000000003,40
2024-05-28 20:00:00+00:00,2358.08,2358.5,2357.7799999999997,2358.0499999999997,38
2024-05-28 20:15:00+00:00,2357.79,2360.26,2357.79,2359.62,40
2024-05-28 20:30:00+00:00,2359.67,2359.8799999999997,2358.3,2359.08,40
2024-05-28 20:45:00+00:00,2358.9900000000002,2361.13,2358.7999999999997,2360.1,41
2024-05-28 21:00:00+00:00,2361.06,2361.1,2361.06,2361.1,2
2024-05-28 22:00:00+00:00,2361.3599999999997,2361.4,2359.96,2361.2599999999998,41
2024-05-28 22:15:00+00:00,2360.32,2361.25,2358.3999999999996,2359.63,45
2024-05-28 22:30:00+00:00,2359.07,2359.56,2358.3,2358.7,40
2024-05-28 22:45:00+00:00,2358.59,2359.04,2357.2,2359.04,40
2024-05-28 23:00:00+00:00,2359.14,2359.14,2357.5,2358.7200000000003,42
2024-05-28 23:15:00+00:00,2359.1,2359.33,2357.9,2359.11,42
2024-05-28 23:30:00+00:00,2359.13,2360.4,2359.06,2359.51,39
