time,open,high,low,close,HTF MA,HTF EMA
1546380000,1282.413,1282.706,1278.782,1279.944,,
1546394400,1279.944,1286.564,1279.742,1286.252,,
1546408800,1286.252,1288.84,1284.72,1287.16,,
1546423200,1287.16,1287.987,1283.381,1284.402,,
1546437600,1284.402,1287.834,1281.904,1284.139,,
1546452000,1284.139,1285.278,1278.859,1284.343,,
1546466400,1284.343,1290.202,1284.343,1288.426,,
1546480800,1288.426,1290.399,1287.639,1290.143,1285.0595666666666,
1546495200,1290.143,1292.346,1287.354,1288.199,1286.1850620999053,
1546509600,1288.199,1290.194,1284.668,1287.936,1286.5911157029273,
1546524000,1287.936,1291.396,1286.925,1290.435,1287.2558889267077,
1546538400,1290.435,1295.01,1290.158,1294.097,1288.7150727075732,
1546552800,1294.097,1298.633,1293.019,1297.086,1290.1202782137223,
1546567200,1297.086,1298.21,1294.064,1295.593,1291.4080388851794,
1546581600,1295.593,1295.896,1289.504,1290.251,1291.7076542847954,
1546596000,1290.251,1292.184,1285.523,1287.788,1291.3804120060122,
1546610400,1287.788,1287.9,1276.699,1284.456,1289.430212467312,
1546624800,1284.456,1285.954,1283.384,1285.145,1288.2906583240585,
1546812000,1285.145,1289.9,1282.728,1288.96,1287.912014362239,
1546826400,1288.96,1291.892,1288.263,1291.516,1288.3356512782477,
1546840800,1291.516,1292.502,1288.807,1291.442,1288.955646312028,
1546855200,1291.442,1295.106,1290.594,1292.44,1289.6090395921885,
1546869600,1292.44,1293.163,1286.264,1288.314,1289.4695573265824,
1546884000,1288.314,1289.28,1286.856,1289.123,1289.2950975879298,
1546898400,1289.123,1290.323,1286.209,1286.344,1289.0777886298554,
1546912800,1286.344,1287.194,1281.856,1283.086,1287.8375129963615,
1546927200,1283.086,1284.825,1281.717,1283.592,1286.7691522548805,
1546941600,1283.592,1284.153,1279.437,1280.736,1285.7646738233175,
1546956000,1280.736,1287.064,1280.431,1286.482,1285.6590782195854,
1546970400,1286.482,1287.001,1284.281,1285.293,1285.5533725559314,1287.7707666666668
1546984800,1285.293,1287.238,1284.684,1285.91,1285.5475290277807,1287.6507172043011
1546999200,1285.91,1286.24,1281.658,1282.639,1284.9647696742118,1287.3273806104753
1547013600,1282.639,1283.831,1280.736,1281.262,1284.3352070347576,1286.93606573238
1547028000,1281.262,1285.614,1280.151,1284.754,1283.872850134161,1286.795287298033
1547042400,1284.754,1291.855,1284.474,1289.994,1285.1483648728504,1287.0016558594502
1547056800,1289.994,1293.928,1289.572,1293.202,1286.8627213822258,1287.4016780620664
1547071200,1293.202,1293.896,1291.708,1292.648,1287.967403974056,1287.7401504451589
1547085600,1292.648,1297.194,1292.648,1296.32,1289.8486595672155,1288.2936891261163
1547100000,1296.32,1297.15,1292.135,1293.08,1290.9475876491813,1288.6024833760443
1547114400,1293.08,1294.668,1289.875,1290.007,1291.3084897193467,1288.6930973517835
1547128800,1290.007,1292.482,1287.638,1288.01,1290.9370305809928,1288.6490265548944
1547143200,1288.01,1288.852,1286.145,1286.498,1290.0245991248223,1288.5102506481269
1547157600,1286.498,1290.268,1286.498,1289.83,1289.7806070979589,1288.5953957676027
1547172000,1289.83,1294.432,1289.399,1294.022,1290.4022214988631,1288.945499266467
1547186400,1294.022,1295.254,1291.804,1292.344,1291.0181504047416,1289.164757378308
1547200800,1292.344,1293.698,1291.202,1292.49,1291.3298549945437,1289.3792891603525
1547215200,1292.49,1292.591,1287.079,1290.262,1290.9530588848502,1289.4362382467814
1547229600,1290.262,1290.457,1287.267,1287.62,1290.2988039309726,1289.3190615856988
1547416800,1287.62,1292.874,1287.496,1292.466,1290.2546038425191,1289.5220898704924
1547431200,1292.466,1292.672,1290.268,1291.875,1290.4312665617142,1289.673890524009
