time,open,high,low,close,HTF EMA,HTF MA
1775426400,4638.25,4638.785,4636.68,4637.61,,4668.395857861794
1775426700,4637.325,4640.68,4630.095,4634.02,,4668.395857861794
1775427000,4634.065,4635.63,4614.56,4630.245,,4668.395857861794
1775427300,4630.3,4641.27,4629.675,4635.75,,4668.395857861794
1775427600,4635.69,4642.25,4632.95,4641.565,,4668.395857861794
1775427900,4641.575,4642.405,4634.17,4636.295,,4668.395857861794
1775428200,4636.275,4641.77,4632.065,4634.875,,4668.395857861794
1775428500,4634.93,4642.115,4634.1,4641.935,,4668.395857861794
1775428800,4641.93,4645.82,4638.04,4642.675,,4668.395857861794
1775429100,4642.64,4650.715,4607.09,4643.005,,4668.395857861794
1775429400,4642.99,4649.17,4617.55,4629.52,,4668.395857861794
1775429700,4629.58,4654.59,4629.58,4646.265,,4666.968060580388
1775430000,4646.27,4651.415,4634.805,4636.825,,4666.968060580388
1775430300,4636.79,4641.025,4629.955,4630.76,,4666.968060580388
1775430600,4630.925,4634.485,4627.16,4632.685,,4666.968060580388
1775430900,4632.71,4634.17,4624.825,4624.825,,4666.968060580388
1775431200,4625.04,4625.96,4618.92,4619.85,,4666.968060580388
1775431500,4619.86,4620.235,4609.39,4609.67,,4666.968060580388
1775431800,4609.68,4616.34,4604.97,4615.385,,4666.968060580388
1775432100,4615.725,4617.605,4612.075,4614.325,,4666.968060580388
1775432400,4614.29,4614.47,4605.795,4607.605,,4666.968060580388
1775432700,4607.61,4615.725,4607.555,4613.88,,4666.968060580388
1775433000,4613.89,4619.76,4613.225,4617.295,,4666.968060580388
1775433300,4617.31,4617.325,4610.38,4610.87,,4663.348830865524
1775433600,4610.97,4623.755,4607.035,4623.385,,4663.348830865524
1775433900,4623.415,4626.395,4618.06,4623.31,,4663.348830865524
1775434200,4623.35,4626.67,4620.685,4626.18,,4663.348830865524
1775434500,4626.175,4629.2,4614.1,4614.91,,4663.348830865524
1775434800,4614.925,4621.655,4613.285,4617.15,,4663.348830865524
1775435100,4617.155,4618.015,4600.85,4603.59,,4663.348830865524
1775435400,4603.58,4610.955,4603.31,4609.505,,4663.348830865524
1775435700,4609.58,4613.135,4605.86,4610.63,,4663.348830865524
1775436000,4610.625,4621.935,4610.46,4619.22,,4663.348830865524
1775436300,4619.2,4621.725,4617.055,4617.79,,4663.348830865524
1775436600,4617.845,4621.68,4615.825,4621.59,,4663.348830865524
1775436900,4621.625,4626.365,4619.695,4622.585,,4660.718906293555
1775437200,4622.63,4632.2,4622.63,4630.83,,4660.718906293555
1775437500,4630.835,4640.79,4627.31,4638.035,,4660.718906293555
1775437800,4638.195,4642.875,4638.175,4641.905,,4660.718906293555
1775438100,4641.92,4643.24,4625.03,4625.055,,4660.718906293555
1775438400,4625.03,4635.51,4620.605,4632.925,,4660.718906293555
1775438700,4632.92,4641.23,4632.915,4641.03,,4660.718906293555
1775439000,4641.025,4641.38,4627.145,4628.985,,4660.718906293555
1775439300,4628.95,4635.79,4626.255,4635.295,,4660.718906293555
1775439600,4635.29,4635.295,4623.54,4628.105,,4660.718906293555
1775439900,4628.065,4629.43,4623.24,4623.595,,4660.718906293555
1775440200,4623.585,4627,4621.76,4626.425,,4660.718906293555
1775440500,4626.42,4627.495,4622.745,4625.815,,4658.46704137139
1775440800,4625.8,4631.53,4623.815,4629.24,,4658.46704137139
1775441100,4629.3,4633.515,4626.975,4632.32,4637.5656,4658.46704137139
1775441400,4632.315,4640.23,4631.13,4636.315,4637.1047921568625,4658.46704137139
1775441700,4636.31,4665.435,4636.31,4663.395,4636.662055209535,4658.46704137139
1775442000,4663.405,4671.73,4662.865,4665.305,4636.236680495435,4658.46704137139
1775442300,4665.32,4667.84,4659.125,4660.92,4635.827987142673,4658.46704137139
1775442600,4660.925,4666.39,4654.085,4654.36,4635.435320980215,4658.46704137139
1775442900,4654.265,4654.52,4644.38,4651.37,4635.058053490795,4658.46704137139
1775443200,4651.365,4654.78,4649,4651.205,4634.6955808048815,4658.46704137139
1775443500,4651.21,4654.925,4650.835,4652.13,4634.347322734102,4658.46704137139
1775443800,4652.255,4656.355,4647.985,4650.945,4634.012721842569,4658.46704137139
1775444100,4650.93,4652.255,4647.325,4648.105,4634.565360201684,4657.798522573236
1775444400,4648.07,4648.155,4631.19,4634.685,4635.096326468284,4657.798522573236
1775444700,4634.58,4635.595,4629.61,4631.01,4635.606470528352,4657.798522573236
1775445000,4630.675,4638.22,4628.795,4633.365,4636.096608939004,4657.798522573236
1775445300,4633.37,4636.54,4627.045,4627.065,4636.5675262355135,4657.798522573236
1775445600,4627.055,4632.05,4625.595,4631.215,4637.019976187062,4657.798522573236
1775445900,4631.22,4634.01,4630.215,4630.715,4637.454683003255,4657.798522573236
1775446200,4630.72,4632.45,4626.185,4631.75,4637.872342493323,4657.798522573236
1775446500,4631.8,4633.585,4629.16,4629.165,4638.27362317986,4657.798522573236
1775446800,4629.23,4633.18,4625.47,4632.755,4638.659167368885,4657.798522573236
1775447100,4632.73,4634.895,4630.795,4634.795,4639.029592177949,4657.798522573236
1775447400,4634.785,4638.41,4633.68,4635.485,4639.385490523911,4657.798522573236
1775447700,4635.545,4642.24,4635.375,4640.89,4639.444490895523,4656.7076501491565
1775448000,4640.875,4648.57,4640.065,4648.4,4639.501177527071,4656.7076501491565
1775448300,4648.39,4648.625,4642.72,4646.575,4639.555641153461,4656.7076501491565
1775448600,4646.57,4648.71,4642.715,4643.34,4639.6079689513645,4656.7076501491565
1775448900,4643.335,4645.455,4643.03,4643.63,4639.658244678762,4656.7076501491565
1775449200,4643.64,4644.59,4641.445,4642.17,4639.706548809007,4656.7076501491565
1775449500,4642.135,4646.885,4641.845,4646.765,4639.752958659634,4656.7076501491565
1775449800,4646.75,4648.76,4643.065,4648.71,4639.797548516119,4656.7076501491565
1775450100,4648.715,4651.38,4648.455,4648.465,4639.840389750781,4656.7076501491565
1775450400,4648.49,4650.485,4647.49,4649.055,4639.881550937024,4656.7076501491565
1775450700,4649.065,4651.985,4647.26,4651.975,4639.921097959102,4656.7076501491565
1775451000,4651.965,4656.39,4651.965,4656.16,4639.959094117568,4656.7076501491565
1775451300,4656.175,4660.005,4654.77,4659.21,4640.714031603154,4656.869092075018
1775451600,4659.205,4664.355,4658.05,4663.055,4641.439363697147,4656.869092075018
1775451900,4663.065,4671.2,4662.37,4670.895,4642.136251395298,4656.869092075018
1775452200,4670.89,4677.125,4669.875,4673.635,4642.80581016411,4656.869092075018
1775452500,4673.695,4678.42,4673.48,4677.44,4643.449111726301,4656.869092075018
1775452800,4677.35,4678.93,4668.27,4673.69,4644.06718577625,4656.869092075018
1775453100,4673.67,4673.885,4667.085,4667.53,4644.6610216281615,4656.869092075018
1775453400,4667.525,4669.065,4664.575,4667.52,4645.231569799606,4656.869092075018
1775453700,4667.545,4668.235,4665.645,4665.94,4645.779743532955,4656.869092075018
1775454000,4665.935,4667.2,4661.475,4661.625,4646.306420257153,4656.869092075018
1775454300,4661.565,4663.205,4659.51,4660.185,4646.812442992166,4656.869092075018
1775454600,4659.97,4667.125,4658.96,4667.09,4647.298621698356,4656.869092075018
1775454900,4667.08,4667.625,4651.375,4652.565,4647.505146337637,4656.591408715339
1775455200,4652.585,4653.42,4643.505,4653.075,4647.703571971455,4656.591408715339
1775455500,4653.06,4659.765,4653.06,4658.16,4647.894216207868,4656.591408715339
1775455800,4658.165,4662.025,4656.99,4661.065,4648.077384199717,4656.591408715339
1775456100,4661.07,4662.325,4658.215,4658.93,4648.253369133062,4656.591408715339
1775456400,4658.925,4660.6,4653.57,4655.27,4648.422452696471,4656.591408715339
1775456700,4655.265,4658.285,4652.715,4657.34,4648.584905531903,4656.591408715339
1775457000,4657.285,4660.115,4655.61,4658.2,4648.740987667907,4656.591408715339
1775457300,4658.18,4659.04,4651.9,4654.94,4648.890948935832,4656.591408715339
1775457600,4654.715,4658.42,4653.35,4655.715,4649.035029369721,4656.591408715339
1775457900,4655.705,4657.125,4653.885,4656.785,4649.173459590516,4656.591408715339
1775458200,4656.56,4667.78,4655.785,4662.415,4649.306461175202,4656.591408715339
1775458500,4662.43,4666.05,4658.94,4665.965,4649.959737207547,4657.196156540155
1775458800,4665.96,4666.705,4658.38,4658.89,4650.587394571957,4657.196156540155
1775459100,4658.785,4660.23,4655.615,4656.94,4651.190437922076,4657.196156540155
1775459400,4656.96,4656.96,4648.355,4652.24,4651.769832513367,4657.196156540155
1775459700,4652.26,4656.03,4646.53,4649.56,4652.326505748137,4657.196156540155
1775460000,4649.565,4650.505,4645.15,4645.39,4652.861348659974,4657.196156540155
1775460300,4645.395,4651.005,4645.12,4650.99,4653.375217339975,4657.196156540155
1775460600,4651.01,4654.08,4650.52,4653.47,4653.8689343070355,4657.196156540155
1775460900,4653.49,4657.79,4653.275,4657,4654.343289824406,4657.196156540155
1775461200,4656.95,4665.81,4656.46,4664.465,4654.799043164626,4657.196156540155
1775461500,4664.45,4672.105,4662.685,4672.095,4655.236923824837,4657.196156540155
1775461800,4672.1,4686.03,4672.085,4681.025,4655.6576326944505,4657.196156540155
1775462100,4681.1,4688.94,4680.505,4684.9,4656.804392196629,4658.9835012795
1775462400,4684.815,4694.9,4680.7,4693.49,4657.906180737938,4658.9835012795
1775462700,4693.485,4693.66,4682.465,4684.8,4658.96476188547,4658.9835012795
1775463000,4684.77,4692.205,4683.865,4689.7,4659.981830046824,4658.9835012795
1775463300,4689.64,4692.68,4685.345,4686.83,4660.959013182242,4658.9835012795
1775463600,4686.82,4693.46,4684.51,4692.975,4661.89787541039,4658.9835012795
1775463900,4692.94,4695.855,4690.08,4691.175,4662.799919511944,4658.9835012795
1775464200,4691.07,4694.805,4690.05,4694.485,4663.666589335005,4658.9835012795
1775464500,4694.375,4696.01,4690.115,4690.295,4664.499272106181,4658.9835012795
1775464800,4690.285,4693.745,4689.815,4693.09,4665.299300651036,4658.9835012795
1775465100,4693.085,4696.935,4692.665,4696.56,4666.0679555274655,4658.9835012795
1775465400,4696.545,4697.285,4691.56,4694.23,4666.806467075408,4658.9835012795
1775465700,4694.23,4698.21,4693.39,4695.86,4667.945821307745,4661.36263022921
1775466000,4696.09,4702.69,4696.075,4698.99,4669.040494981951,4661.36263022921
1775466300,4698.94,4703.375,4698.08,4699.195,4670.0922402767765,4661.36263022921
1775466600,4699.19,4701.485,4697.35,4701.305,4671.10274065808,4661.36263022921
1775466900,4701.36,4703.805,4698.345,4700.295,4672.073613573449,4661.36263022921
1775467200,4700.29,4702.955,4697.36,4701.485,4673.0064130411565,4661.36263022921
1775467500,4701.54,4703.23,4699.78,4702.62,4673.902632137581,4661.36263022921
1775467800,4702.64,4704.75,4701.13,4703.79,4674.763705387088,4661.36263022921
1775468100,4703.84,4704.39,4702.005,4702.79,4675.591011058183,4661.36263022921
1775468400,4702.785,4706.875,4702.21,4703.54,4676.385873369626,4661.36263022921
1775468700,4703.51,4705.24,4700.41,4700.585,4677.149564610033,4661.36263022921
1775469000,4700.6,4700.78,4691.47,4693.865,4677.883307174346,4661.36263022921
1775469300,4693.895,4695.545,4690.94,4693.805,4678.507687285156,4663.4556863434545
1775469600,4693.84,4697.7,4692.87,4697.58,4679.107581901424,4663.4556863434545
1775469900,4697.565,4697.725,4691.89,4693.835,4679.683951238623,4663.4556863434545
1775470200,4693.99,4697.125,4686.13,4686.78,4680.237717856717,4663.4556863434545
1775470500,4686.77,4691.045,4686.165,4690.61,4680.769768136845,4663.4556863434545
1775470800,4690.645,4693.31,4689.365,4689.375,4681.280953700107,4663.4556863434545
1775471100,4689.355,4690.02,4686.81,4690.02,4681.7720927706905,4663.4556863434545
1775471400,4690.01,4694.005,4689.065,4690.05,4682.243971485565,4663.4556863434545
1775471700,4690.06,4692.265,4687.74,4692.12,4682.697345152798,4663.4556863434545
1775472000,4692.06,4696.91,4692.06,4695.52,4683.132939460532,4663.4556863434545
1775472300,4695.605,4695.905,4684.655,4692.705,4683.55145163855,4663.4556863434545
1775472600,4692.68,4694.605,4691.025,4691.165,4683.953551574294,4663.4556863434545
1775472900,4691.2,4692.855,4688.99,4689.91,4684.187137787067,4665.1624162567805
1775473200,4690.12,4696.14,4689.2,4693.1,4684.411563756201,4665.1624162567805
1775473500,4693.12,4696.92,4692.065,4692.785,4684.627188706938,4665.1624162567805
1775473800,4692.77,4693.57,4689.05,4689.83,4684.834357777254,4665.1624162567805
1775474100,4689.92,4692.18,4688.23,4691.935,4685.033402570302,4665.1624162567805
1775474400,4691.91,4692.64,4685.565,4688.205,4685.224641685192,4665.1624162567805
1775474700,4688.195,4690.74,4686.535,4688.81,4685.408381226949,4665.1624162567805
1775475000,4688.86,4691.23,4687.53,4689.43,4685.58491529648,4665.1624162567805
1775475300,4689.32,4694.04,4685.545,4689.47,4685.7545264613245,4665.1624162567805
1775475600,4689.46,4694.55,4685.28,4685.28,4685.917486207939,4665.1624162567805
1775475900,4685.295,4685.87,4681.3,4682.79,4686.074055376255,4665.1624162567805
1775476200,4682.775,4683.7,4678.875,4683.48,4686.224484577187,4665.1624162567805
1775476500,4683.59,4684.705,4677.07,4677.94,4685.899602829061,4665.986776498278
1775476800,4677.92,4683.76,4677.895,4682.065,4685.587461541647,4665.986776498278
1775477100,4682.12,4686.855,4678.355,4679.325,4685.287561089033,4665.986776498278
1775477400,4679.375,4679.705,4671.705,4672.67,4684.999421438483,4665.986776498278
1775477700,4672.68,4674.46,4669.335,4673.45,4684.722581382072,4665.986776498278
1775478000,4673.35,4673.545,4661.775,4664.31,4684.456597798462,4665.986776498278
1775478300,4664.3,4667.89,4659.655,4666.325,4684.20104494362,4665.986776498278
1775478600,4666.33,4676.045,4665.94,4674.01,4683.955513769361,4665.986776498278
1775478900,4674.02,4677.93,4670.45,4676.815,4683.7196112686015,4665.986776498278
1775479200,4676.825,4679.09,4673.785,4677.08,4683.492959846303,4665.986776498278
1775479500,4677.065,4681.42,4676.255,4678.995,4683.275196715075,4665.986776498278
1775479800,4678.98,4679.24,4674.25,4677.425,4683.065973314484,4665.986776498278
1775480100,4677.39,4678.82,4674.45,4676.22,4682.797503772739,4666.6469844661315
1775480400,4676.21,4677.85,4671.275,4672,4682.539562448318,4666.6469844661315
1775480700,4672.05,4672.695,4662.28,4670.155,4682.291736469952,4666.6469844661315
1775481000,4670.205,4671.44,4667.35,4668.77,4682.053629157405,4666.6469844661315
1775481300,4668.82,4669.89,4663.99,4664.095,4681.824859386526,4666.6469844661315
1775481600,4664.08,4672.94,4659.8,4672.835,4681.605060979212,4666.6469844661315
1775481900,4672.725,4673.63,4667.495,4668.81,4681.393882117282,4666.6469844661315
1775482200,4668.815,4676.425,4660.79,4671.465,4681.1909847793495,4666.6469844661315
1775482500,4671.49,4675.185,4663.505,4673.8,4680.996044199767,4666.6469844661315
1775482800,4673.795,4679.15,4665.195,4665.77,4680.808748348796,4666.6469844661315
1775483100,4665.815,4676.95,4661.77,4664.355,4680.628797433157,4666.6469844661315
1775483400,4664.37,4680.345,4663.575,4679.13,4680.45590341617,4666.6469844661315
1775483700,4679.2,4681.87,4675.125,4679.92,4680.434887595929,4667.503308048962
1775484000,4679.91,4690.635,4668.885,4670.065,4680.4146959255,4667.503308048962
1775484300,4670.35,4674.125,4666.175,4671.06,4680.395296085285,4667.503308048962
1775484600,4671.255,4672.905,4660.455,4672.905,4680.376657023116,4667.503308048962
1775484900,4673.055,4683.445,4670.785,4683.385,4680.358748904563,4667.503308048962
1775485200,4683.38,4686.595,4677.47,4685.77,4680.3415430651685,4667.503308048962
1775485500,4685.7,4688.375,4683.895,4686.065,4680.325011964574,4667.503308048962
1775485800,4686.085,4692.23,4683.215,4692.02,4680.309129142433,4667.503308048962
1775486100,4691.99,4697.78,4678.635,4684.525,4680.293869176064,4667.503308048962
1775486400,4684.53,4692.295,4682.6,4684.585,4680.279207639747,4667.503308048962
1775486700,4684.6,4684.68,4677.425,4678.93,4680.2651210656395,4667.503308048962
1775487000,4678.94,4686.54,4675.42,4684.78,4680.251586906203,4667.503308048962
1775487300,4684.795,4688.705,4679.93,4682.84,4680.353093302037,4668.492772045804
1775487600,4682.835,4683.91,4669.21,4672.255,4680.450619054899,4668.492772045804
1775487900,4672.205,4672.655,4664.205,4667.835,4680.544320268433,4668.492772045804
1775488200,4667.82,4670.165,4661.19,4662.29,4680.634346924573,4668.492772045804
1775488500,4662.275,4667.25,4655.665,4666.565,4680.7208431236095,4668.492772045804
1775488800,4666.69,4670.115,4664.63,4665.9,4680.80394731484,4668.492772045804
1775489100,4665.87,4668.77,4661.93,4667.43,4680.88379251818,4668.492772045804
1775489400,4667.43,4671.2,4666.86,4667.55,4680.960506537074,4668.492772045804
1775489700,4667.555,4667.995,4652.095,4655.275,4681.034212163071,4668.492772045804
1775490000,4655.4,4661.405,4653.68,4660.815,4681.105027372362,4668.492772045804
1775490300,4660.85,4666.27,4659.655,4664.18,4681.173065514622,4668.492772045804
1775490600,4664.13,4668.105,4662.585,4665.605,4681.238435494441,4668.492772045804
1775490900,4665.575,4669.355,4663.02,4668.155,4680.725359592698,4668.470980300913
1775491200,4668.22,4670.575,4664.94,4666.57,4680.232404314553,4668.470980300913
1775491500,4666.56,4667.28,4663.005,4663.255,4679.758780615943,4668.470980300913
1775491800,4663.185,4671.435,4662.6,4670.405,4679.30373039571,4668.470980300913
1775492100,4670.305,4672.66,4665.105,4668.72,4678.866525282153,4668.470980300913
1775492400,4668.695,4670.895,4665.745,4668.83,4678.4464654671665,4668.470980300913
1775492700,4668.825,4670.23,4665.705,4665.725,4678.042878586101,4668.470980300913
1775493000,4665.685,4667.94,4664.73,4666.81,4677.655118641548,4668.470980300913
1775493300,4666.82,4671.21,4664.36,4664.4,4677.28256496933,4668.470980300913
1775493600,4664.395,4666.32,4662.995,4663.51,4676.9246212450425,4668.470980300913
1775493900,4663.5,4665.165,4661.53,4664.78,4676.58071452955,4668.470980300913
1775494200,4664.775,4666.79,4662.175,4663.055,4676.250294351921,4668.470980300913
1775494500,4663.07,4663.525,4658.12,4660.515,4675.633223985179,4667.957691249241
1775494800,4660.55,4661.235,4655.06,4659.235,4675.040352456348,4667.957691249241
1775495100,4659.215,4660.03,4656.01,4658.41,4674.470730791393,4667.957691249241
1775495400,4658.365,4659.78,4645.885,4653.965,4673.923447230946,4667.957691249241
1775495700,4653.925,4659.845,4650.345,4659.745,4673.397625770909,4667.957691249241
1775496000,4659.755,4660.275,4658.08,4659.82,4672.892424760285,4667.957691249241
1775496300,4659.81,4660.275,4655.14,4656.53,4672.407035554,4667.957691249241
1775496600,4656.54,4660.635,4652.575,4659.155,4671.940681218549,4667.957691249241
1775496900,4659.15,4660.045,4658.26,4659.59,4671.49261528841,4667.957691249241
