entry_time,direction,entry,sl,dist,touches,htf_dist,fresh,outcome,t1_hit,pnl_usd
2024-07-30 16:05:00+00:00,LONG,2388.2,2386.01,2.19,2,10.26,True,T2,True,131.25
2024-08-22 13:00:00+00:00,SHORT,2499.09,2502.32,3.23,2,13.88,True,T2,True,131.25
2024-12-09 13:00:00+00:00,LONG,2657.52,2654.04,3.48,4,10.19,True,T2,True,131.25
2025-01-06 13:20:00+00:00,SHORT,2643.51,2645.65,2.14,4,13.34,True,T2,True,131.25
2025-04-07 16:00:00+00:00,SHORT,2981.6,2997.66,16.06,2,31.76,True,BE,True,56.25
2025-04-07 16:35:00+00:00,SHORT,2981.25,2997.66,16.41,4,24.0,False,SL,False,-75.0
2025-07-25 14:05:00+00:00,SHORT,3341.79,3345.43,3.64,2,10.67,True,T2,True,131.25
2025-08-01 13:40:00+00:00,LONG,3348.27,3336.56,11.71,2,19.19,True,SL,False,-75.0
2025-08-01 14:45:00+00:00,LONG,3347.5,3336.56,10.94,3,13.63,False,BE,True,56.25
2025-08-01 15:05:00+00:00,LONG,3348.14,3336.56,11.58,3,15.03,False,SL,False,-75.0
2025-11-18 13:10:00+00:00,LONG,4042.56,4038.31,4.25,5,26.73,True,T2,True,131.25
2025-11-18 13:20:00+00:00,LONG,4048.86,4038.31,10.55,5,24.68,False,T2,True,131.25
2025-11-20 16:10:00+00:00,SHORT,4073.83,4089.3,15.47,2,24.81,True,BE,True,56.25
2025-12-01 16:30:00+00:00,SHORT,4231.12,4244.89,13.77,2,10.81,True,T2,True,131.25
2025-12-26 13:00:00+00:00,LONG,4514.24,4505.07,9.17,3,13.76,True,T2,True,131.25
2025-12-31 13:20:00+00:00,LONG,4325.19,4309.66,15.53,3,26.46,True,BE,True,56.25
2026-01-27 14:45:00+00:00,SHORT,5064.95,5091.51,26.56,2,19.71,True,SL,False,-75.0
2026-01-30 14:50:00+00:00,SHORT,5047.46,5098.89,51.43,2,23.03,True,T2,True,131.25
2026-02-02 13:00:00+00:00,SHORT,4746.4,4806.45,60.05,2,32.91,True,T2,True,131.25
2026-02-02 13:15:00+00:00,SHORT,4749.69,4806.45,56.76,2,29.19,False,T2,True,131.25
2026-02-03 13:00:00+00:00,LONG,4920.32,4889.74,30.58,5,23.0,True,T2,True,131.25
2026-02-05 16:05:00+00:00,LONG,4827.27,4800.41,26.86,4,45.82,True,T2,True,131.25
2026-02-05 16:15:00+00:00,LONG,4837.21,4800.41,36.8,4,42.3,False,BE,True,56.25
2026-02-05 16:20:00+00:00,LONG,4849.55,4800.41,49.14,4,40.64,False,SL,False,-75.0
2026-02-05 16:35:00+00:00,LONG,4858.72,4800.41,58.31,4,36.04,False,SL,False,-75.0
