entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit,tf
2025-11-27 15:00:00+00:00,2025-11-28 08:00:00+00:00,LONG,4161.24,4144.56,4161.24,56.25,BE,True,30M
2025-12-10 16:30:00+00:00,2025-12-10 19:30:00+00:00,LONG,4204.98,4189.45,4189.45,-75.0,SL,False,30M
2026-01-16 14:30:00+00:00,2026-01-16 15:00:00+00:00,LONG,4607.73,4592.89,4592.89,-75.0,SL,False,30M
2026-01-26 16:30:00+00:00,2026-01-26 19:00:00+00:00,LONG,5089.55,5052.31,5052.31,-75.0,SL,False,30M
2026-01-28 14:30:00+00:00,2026-01-28 15:00:00+00:00,LONG,5286.19,5251.82,5251.82,-75.0,SL,False,30M
2026-02-25 14:30:00+00:00,2026-03-01 23:00:00+00:00,LONG,5191.18,5110.95,5351.63,131.25,T2,True,30M
2026-03-17 14:00:00+00:00,2026-03-18 11:00:00+00:00,SHORT,5008.49,5038.2,4949.09,131.25,T2,True,30M
2026-03-27 13:00:00+00:00,2026-03-27 14:00:00+00:00,SHORT,4422.48,4454.64,4454.64,-75.0,SL,False,30M
2026-04-22 14:00:00+00:00,2026-04-22 18:30:00+00:00,SHORT,4744.1,4757.88,4744.1,0.0,BE,False,30M
2026-04-23 15:30:00+00:00,2026-04-24 14:00:00+00:00,SHORT,4720.65,4757.88,4720.65,56.25,BE,True,30M
2026-05-08 16:00:00+00:00,2026-05-10 22:00:00+00:00,LONG,4717.71,4694.93,4694.93,-75.0,SL,False,30M
