tf,setup,setup_name,direction,entry_time,exit_time,entry_price,exit_price,sl,tp,exit_reason,pnl_r,pnl_usd,equity,session
30M,5,Fib-Reject,SHORT,2026-02-17 13:00:00+00:00,2026-02-18 03:00:00+00:00,4919.75,4919.75,4971.4616,4816.326800000001,SL,-0.0,-0.0,4829.82,NY
15M,5,Fib-Reject,SHORT,2026-02-17 13:00:00+00:00,2026-02-17 13:45:00+00:00,4922.08,4922.08,4971.4616,4823.3168000000005,SL,-0.0,-0.0,4801.73,NY
30M,5,Fib-Reject,LONG,2026-02-19 14:30:00+00:00,2026-02-20 14:30:00+00:00,5005.795,5054.214625,4973.51525,5070.3544999999995,partial-TP,1.5,36.22,4866.05,NY
15M,2,Zone-Pyramid,LONG,2026-02-19 14:45:00+00:00,2026-02-19 17:30:00+00:00,5005.795,4987.679999999999,4987.679999999999,5042.0250000000015,SL,-1.0,-72.03,4729.7,NY
15M,5,Fib-Reject,LONG,2026-02-26 15:30:00+00:00,2026-02-27 00:30:00+00:00,5175.76,5175.76,5157.60935,5212.061300000001,SL,-0.0,-0.0,4729.7,NY
30M,2,Zone-Pyramid,LONG,2026-02-26 15:30:00+00:00,2026-03-01 23:00:00+00:00,5185.775,5298.012499999999,5110.95,5335.424999999999,partial-TP,1.5,109.49,4975.53,NY
30M,5,Fib-Reject,LONG,2026-03-02 17:00:00+00:00,2026-03-03 11:00:00+00:00,5305.125,5221.33975,5221.33975,5472.6955,SL,-1.0,-24.88,4950.65,NY
30M,5,Fib-Reject,SHORT,2026-03-04 14:30:00+00:00,2026-03-05 00:00:00+00:00,5147.475,5175.71255,5175.71255,5090.999900000001,SL,-1.0,-24.75,4925.9,NY
15M,3,Liq-Sweep,LONG,2026-03-11 13:45:00+00:00,2026-03-11 22:45:00+00:00,5176.855,5149.105,5149.105,5232.355,SL,-1.0,-23.65,4706.05,NY
30M,2,Zone-Pyramid,LONG,2026-03-11 14:00:00+00:00,2026-03-11 14:30:00+00:00,5194.41,5185.8099999999995,5185.8099999999995,5211.610000000001,SL,-1.0,-73.89,4852.01,NY
15M,2,Zone-Pyramid,SHORT,2026-03-13 13:45:00+00:00,2026-03-13 14:00:00+00:00,5102.24,5102.24,5112.89,5080.939999999999,SL,-0.0,-0.0,4706.05,NY
30M,3,Liq-Sweep,SHORT,2026-03-16 14:00:00+00:00,2026-03-16 18:30:00+00:00,5014.77,5014.77,5038.195000000001,4967.92,SL,-0.0,-0.0,4852.01,NY
15M,3,Liq-Sweep,SHORT,2026-03-16 14:00:00+00:00,2026-03-16 14:15:00+00:00,5028.185,5028.185,5038.195000000001,5008.165,SL,-0.0,-0.0,4706.05,NY
15M,5,Fib-Reject,SHORT,2026-03-16 14:30:00+00:00,2026-03-16 17:00:00+00:00,5001.255,5001.255,5022.2462000000005,4959.272599999999,SL,-0.0,-0.0,4706.05,NY
30M,5,Fib-Reject,SHORT,2026-03-23 13:00:00+00:00,2026-03-24 20:00:00+00:00,4409.955,4455.89,4602.4445000000005,4024.9759999999987,time-stop,-0.239,-5.79,4846.22,NY
15M,5,Fib-Reject,SHORT,2026-03-23 15:45:00+00:00,2026-03-23 18:30:00+00:00,4363.87,4444.6341,4444.6341,4202.341799999999,SL,-1.0,-23.53,4682.52,NY
15M,5,Fib-Reject,LONG,2026-03-25 14:15:00+00:00,2026-03-25 15:15:00+00:00,4562.905,4539.9591,4539.9591,4608.796799999999,SL,-1.0,-23.41,4659.11,NY
15M,1,50min-Wait,LONG,2026-03-25 17:30:00+00:00,2026-03-25 17:45:00+00:00,4560.57,4551.34,4551.34,4579.029999999999,SL,-1.0,-23.3,4635.81,NY
15M,1,50min-Wait,SHORT,2026-03-26 15:30:00+00:00,2026-03-26 16:15:00+00:00,4440.18,4404.382500000001,4464.045,4392.450000000001,partial-TP,1.5,34.77,4670.58,NY
15M,5,Fib-Reject,SHORT,2026-04-06 15:00:00+00:00,2026-04-07 04:30:00+00:00,4662.29,4662.29,4697.0088000000005,4592.852399999999,SL,-0.0,-0.0,4670.58,NY
30M,5,Fib-Reject,SHORT,2026-04-07 13:30:00+00:00,2026-04-07 19:00:00+00:00,4644.44,4687.95255,4687.95255,4557.414899999999,SL,-1.0,-24.23,4821.99,NY
15M,5,Fib-Reject,SHORT,2026-04-07 13:30:00+00:00,2026-04-07 17:30:00+00:00,4639.755,4681.11915,4681.11915,4557.026699999999,SL,-1.0,-23.35,4647.23,NY
30M,1,50min-Wait,LONG,2026-04-10 14:00:00+00:00,2026-04-10 16:00:00+00:00,4790.66,4750.51,4750.51,4870.959999999999,SL,-1.0,-24.11,4797.88,NY
15M,2,Zone-Pyramid,LONG,2026-04-10 16:45:00+00:00,2026-04-10 20:15:00+00:00,4763.84,4747.25,4747.25,4797.02,SL,-1.0,-69.71,4577.52,NY
30M,1,50min-Wait,LONG,2026-04-10 18:00:00+00:00,2026-04-12 22:00:00+00:00,4766.195,4735.014999999999,4735.014999999999,4828.555,SL,-1.0,-23.99,4773.89,NY
15M,5,Fib-Reject,SHORT,2026-04-13 14:15:00+00:00,2026-04-13 16:15:00+00:00,4715.58,4732.38245,4732.38245,4681.9751,SL,-1.0,-22.89,4554.63,NY
15M,3,Liq-Sweep,SHORT,2026-04-13 16:45:00+00:00,2026-04-13 17:15:00+00:00,4733.215,4746.320000000001,4746.320000000001,4707.004999999999,SL,-1.0,-22.77,4531.86,NY
15M,2,Zone-Pyramid,LONG,2026-04-16 15:00:00+00:00,2026-04-16 15:30:00+00:00,4806.79,4799.415,4799.415,4821.54,SL,-1.0,-67.98,4463.88,NY
30M,2,Zone-Pyramid,SHORT,2026-04-22 14:00:00+00:00,2026-04-22 18:30:00+00:00,4744.095,4744.095,4757.88,4716.525000000001,SL,-0.0,-0.0,4773.89,NY
30M,5,Fib-Reject,SHORT,2026-04-23 15:30:00+00:00,2026-04-23 17:30:00+00:00,4720.65,4682.822699999999,4739.56365,4682.822699999999,TP,2.0,47.74,4821.63,NY
30M,5,Fib-Reject,LONG,2026-05-01 13:30:00+00:00,2026-05-01 14:00:00+00:00,4625.77,4653.6568000000025,4611.826599999999,4653.6568000000025,TP,2.0,48.22,4869.85,NY
30M,2,Zone-Pyramid,LONG,2026-05-08 16:00:00+00:00,2026-05-10 22:00:00+00:00,4717.71,4694.925,4694.925,4763.28,SL,-1.0,-73.05,4796.8,NY
30M,5,Fib-Reject,SHORT,2026-05-13 16:30:00+00:00,2026-05-14 07:30:00+00:00,4695.865,4718.82175,4718.82175,4649.951499999999,SL,-1.0,-23.98,4772.82,NY
