entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit
2024-05-28 09:00:00+00:00,2024-05-28 09:10:00+00:00,SHORT,2344.06,2344.71,2344.06,56.25,BE,True
2024-05-28 09:15:00+00:00,2024-05-28 09:40:00+00:00,SHORT,2342.95,2344.71,2344.71,-75.0,SL,False
2024-05-28 17:30:00+00:00,2024-05-28 17:35:00+00:00,LONG,2356.17,2354.1,2356.17,56.25,BE,True
2024-06-10 08:50:00+00:00,2024-06-10 09:20:00+00:00,SHORT,2294.48,2296.35,2296.35,-75.0,SL,False
2024-06-12 10:10:00+00:00,2024-06-12 12:15:00+00:00,SHORT,2313.04,2314.63,2314.63,-75.0,SL,False
2024-07-04 10:15:00+00:00,2024-07-04 12:30:00+00:00,LONG,2357.41,2355.65,2357.41,56.25,BE,True
2024-07-04 14:55:00+00:00,2024-07-04 15:00:00+00:00,LONG,2358.89,2358.41,2358.41,-75.0,SL,False
2024-07-04 15:05:00+00:00,2024-07-04 15:15:00+00:00,LONG,2359.92,2358.41,2358.41,-75.0,SL,False
2024-07-05 10:20:00+00:00,2024-07-05 10:25:00+00:00,LONG,2363.86,2363.53,2364.52,131.25,T2,True
2024-07-05 11:25:00+00:00,2024-07-05 11:35:00+00:00,LONG,2365.02,2363.53,2363.53,-75.0,SL,False
2024-07-05 11:50:00+00:00,2024-07-05 12:30:00+00:00,LONG,2365.07,2363.53,2368.15,131.25,T2,True
2024-07-16 16:50:00+00:00,2024-07-16 16:55:00+00:00,LONG,2459.89,2459.66,2459.66,-75.0,SL,False
2024-07-16 17:00:00+00:00,2024-07-16 17:05:00+00:00,LONG,2461.25,2459.66,2459.66,-75.0,SL,False
2024-07-18 12:30:00+00:00,2024-07-18 12:40:00+00:00,LONG,2468.41,2463.85,2463.85,-75.0,SL,False
2024-07-22 08:05:00+00:00,2024-07-22 08:20:00+00:00,SHORT,2403.06,2404.7,2403.06,0.0,BE,False
2024-07-22 09:55:00+00:00,2024-07-22 10:00:00+00:00,SHORT,2404.47,2404.7,2404.01,131.25,T2,True
2024-07-23 12:05:00+00:00,2024-07-23 12:20:00+00:00,LONG,2407.97,2406.65,2406.65,-75.0,SL,False
2024-07-23 13:10:00+00:00,2024-07-23 14:05:00+00:00,SHORT,2404.2,2408.02,2404.2,0.0,BE,False
2024-07-30 09:10:00+00:00,2024-07-30 09:25:00+00:00,LONG,2389.43,2388.01,2388.01,-75.0,SL,False
2024-07-30 10:45:00+00:00,2024-07-30 11:35:00+00:00,LONG,2389.61,2388.01,2389.61,56.25,BE,True
2024-07-30 16:05:00+00:00,2024-07-30 16:40:00+00:00,LONG,2388.2,2386.01,2392.58,131.25,T2,True
2024-08-05 14:15:00+00:00,2024-08-05 14:20:00+00:00,SHORT,2387.72,2391.51,2391.51,-75.0,SL,False
2024-08-07 11:40:00+00:00,2024-08-07 11:45:00+00:00,SHORT,2395.77,2397.04,2397.04,-75.0,SL,False
2024-08-13 16:40:00+00:00,2024-08-14 02:30:00+00:00,LONG,2467.96,2459.14,2459.14,-75.0,SL,False
2024-08-14 12:35:00+00:00,2024-08-14 13:15:00+00:00,LONG,2471.68,2459.14,2459.14,-75.0,SL,False
2024-08-14 17:20:00+00:00,2024-08-14 18:35:00+00:00,SHORT,2441.13,2444.76,2444.76,-75.0,SL,False
2024-08-15 17:00:00+00:00,2024-08-15 18:05:00+00:00,SHORT,2454.59,2456.25,2456.25,-75.0,SL,False
2024-08-16 14:10:00+00:00,2024-08-16 14:15:00+00:00,LONG,2491.86,2487.5,2487.5,-75.0,SL,False
2024-08-16 14:50:00+00:00,2024-08-16 14:55:00+00:00,LONG,2487.53,2487.5,2487.59,131.25,T2,True
2024-08-16 15:05:00+00:00,2024-08-16 15:15:00+00:00,LONG,2489.22,2487.5,2487.5,-75.0,SL,False
2024-08-16 15:40:00+00:00,2024-08-16 16:05:00+00:00,LONG,2489.62,2487.5,2493.86,131.25,T2,True
2024-08-22 12:45:00+00:00,2024-08-22 12:50:00+00:00,SHORT,2501.41,2502.32,2502.32,-18.75,SL,True
2024-08-22 12:55:00+00:00,2024-08-22 13:15:00+00:00,SHORT,2500.59,2502.32,2497.13,131.25,T2,True
2024-08-23 11:40:00+00:00,2024-08-23 12:20:00+00:00,LONG,2499.37,2497.07,2499.37,0.0,BE,False
2024-08-23 12:25:00+00:00,2024-08-23 13:35:00+00:00,LONG,2500.25,2497.07,2497.07,-75.0,SL,False
2024-08-28 08:40:00+00:00,2024-08-28 09:05:00+00:00,SHORT,2506.29,2508.68,2508.68,-75.0,SL,False
2024-08-29 08:10:00+00:00,2024-08-29 12:00:00+00:00,LONG,2517.95,2514.59,2517.95,56.25,BE,True
2024-09-03 17:30:00+00:00,2024-09-04 11:00:00+00:00,SHORT,2489.92,2501.33,2489.92,56.25,BE,True
2024-09-05 13:15:00+00:00,2024-09-05 14:00:00+00:00,LONG,2517.5,2513.35,2513.35,-75.0,SL,False
2024-09-05 16:20:00+00:00,2024-09-05 17:20:00+00:00,LONG,2509.65,2508.25,2512.45,131.25,T2,True
2024-09-25 15:10:00+00:00,2024-09-25 15:15:00+00:00,LONG,2660.05,2658.97,2658.97,-75.0,SL,False
2024-09-27 10:05:00+00:00,2024-09-27 10:10:00+00:00,SHORT,2662.05,2663.69,2663.69,-75.0,SL,False
2024-09-27 12:20:00+00:00,2024-09-27 12:30:00+00:00,LONG,2665.87,2664.24,2669.13,131.25,T2,True
2024-09-30 17:30:00+00:00,2024-09-30 18:10:00+00:00,SHORT,2637.4,2641.2,2629.8,131.25,T2,True
2024-10-01 11:35:00+00:00,2024-10-01 11:40:00+00:00,LONG,2648.79,2648.75,2648.75,-75.0,SL,False
2024-10-01 11:45:00+00:00,2024-10-01 11:50:00+00:00,LONG,2650.02,2648.75,2650.02,56.25,BE,True
2024-10-01 17:40:00+00:00,2024-10-01 17:45:00+00:00,LONG,2665.02,2663.63,2663.63,-75.0,SL,False
2024-10-03 09:50:00+00:00,2024-10-03 09:55:00+00:00,SHORT,2645.61,2646.32,2645.61,0.0,BE,False
2024-10-03 15:55:00+00:00,2024-10-03 16:05:00+00:00,SHORT,2648.77,2651.1,2651.1,-75.0,SL,False
2024-10-04 10:15:00+00:00,2024-10-04 10:55:00+00:00,LONG,2659.29,2658.39,2658.39,-75.0,SL,False
2024-10-14 08:50:00+00:00,2024-10-14 09:35:00+00:00,LONG,2660.04,2657.61,2657.61,-75.0,SL,False
2024-10-14 09:40:00+00:00,2024-10-14 10:00:00+00:00,LONG,2659.21,2657.61,2657.61,-75.0,SL,False
2024-10-14 17:00:00+00:00,2024-10-14 17:05:00+00:00,LONG,2649.17,2648.47,2648.47,-75.0,SL,False
2024-10-18 13:20:00+00:00,2024-10-18 13:25:00+00:00,LONG,2708.4,2708.05,2709.1,131.25,T2,True
2024-10-22 16:40:00+00:00,2024-10-23 01:35:00+00:00,LONG,2741.75,2737.7,2741.75,56.25,BE,True
2024-10-23 11:05:00+00:00,2024-10-23 11:40:00+00:00,LONG,2750.15,2748.46,2750.15,56.25,BE,True
2024-10-29 11:10:00+00:00,2024-10-29 11:15:00+00:00,LONG,2751.01,2750.07,2750.07,-75.0,SL,False
2024-11-07 16:50:00+00:00,2024-11-07 18:50:00+00:00,LONG,2694.73,2690.66,2694.73,0.0,BE,False
2024-11-08 10:15:00+00:00,2024-11-08 11:15:00+00:00,SHORT,2685.5,2689.05,2689.05,-75.0,SL,False
2024-11-13 12:45:00+00:00,2024-11-13 13:20:00+00:00,SHORT,2609.86,2610.87,2607.84,131.25,T2,True
2024-11-14 08:10:00+00:00,2024-11-14 08:20:00+00:00,SHORT,2557.57,2558.81,2557.57,56.25,BE,True
